year,km_driven,mileage,engine,max_power,age,make,model,Individual,Trustmark Dealer,Diesel,Electric,LPG,Petrol,Manual,5,>5
2018.0,23150,23.95,998.0,67.1,5.0,4.684721460176991,3.76625,0,0,0,0,0,1,0,1,0
2012.0,49049,13.1,2354.0,141.1,11.0,5.9799016301292856,7.5,0,0,0,0,0,1,0,1,0
2020.0,2000,16.5,1493.0,62.0,3.0,7.315421238244514,8.0,1,0,1,0,0,0,1,0,1
2015.0,37111,21.7,2400.0,215.0,8.0,17.243273809523792,14.0,0,0,1,0,0,0,0,1,0
2014.0,68000,15.11,1598.0,103.6,9.0,5.540305519053876,4.908333333333334,0,0,1,0,0,0,1,1,0
2014.0,70000,15.0,1598.0,103.52,9.0,7.182097156398103,4.3954545454545455,0,0,0,0,0,1,1,1,0
2018.0,21400,23.01,999.0,67.0,5.0,4.606650943396226,3.493584905660377,1,0,0,0,0,1,1,1,0
2011.0,54263,20.0,1399.0,68.0,12.0,5.858258333333332,2.4525,0,0,1,0,0,0,1,1,0
2011.0,50000,23.19,1461.0,63.12,12.0,4.611877162629757,2.9,0,0,1,0,0,0,1,1,0
2013.0,15000,21.1,814.0,55.2,10.0,5.4588194834362715,2.6386419753086416,1,0,0,0,0,1,1,1,0
2010.0,120000,14.0,2523.0,75.0,13.0,7.315421238244514,5.0,1,0,1,0,0,0,1,0,1
2019.0,25000,24.7,796.0,47.3,4.0,4.684721460176991,2.646137566137566,1,0,0,0,0,1,1,1,0
2017.0,50000,19.67,1582.0,126.2,6.0,5.4588194834362715,10.275,1,0,1,0,0,0,1,1,0
2018.0,13746,19.49,1198.0,67.04,5.0,4.611877162629757,3.9333333333333336,0,0,0,0,0,1,1,1,0
2014.0,15000,25.4,624.0,37.5,9.0,4.381194170957776,1.6453846153846154,1,0,0,0,0,1,1,0,0
2016.0,58500,19.67,1582.0,126.2,7.0,5.4588194834362715,10.260227272727272,0,0,1,0,0,0,1,1,0
2018.0,5000,23.95,998.0,67.05,5.0,4.684721460176991,3.1449586776859504,1,0,0,0,0,1,1,1,0
2018.0,4600,22.05,796.0,47.3,5.0,4.684721460176991,2.646137566137566,1,0,0,0,0,1,1,1,0
2017.0,50000,25.32,1198.0,77.0,6.0,7.315421238244514,5.633333333333333,0,0,1,0,0,0,1,0,1
2006.0,295000,13.5,1405.0,60.0,17.0,4.381194170957776,0.325,1,0,0,0,0,1,1,1,0
2017.0,80000,24.7,796.0,47.3,6.0,4.684721460176991,2.646137566137566,1,0,0,0,0,1,1,1,0
2013.0,125000,20.0,1399.0,68.1,10.0,5.858258333333332,2.607142857142857,1,0,1,0,0,0,1,1,0
2012.0,14000,25.4,624.0,37.48,11.0,4.381194170957776,0.892370909090909,0,0,0,0,0,1,1,0,0
2016.0,49411,28.09,1248.0,88.5,7.0,4.684721460176991,6.401515151515151,1,0,1,0,0,0,1,1,0
2019.0,2600,17.4,1497.0,117.6,4.0,5.9799016301292856,12.483333333333333,0,0,0,0,0,1,0,1,0
2011.0,49000,13.5,2987.0,254.79,12.0,17.07147938144328,18.95124999999998,0,0,1,0,0,0,0,1,0
